country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Singapore,,,,,146,205,246,73,87.3,62.1,57.8,89.5,85.5,94.8,118,94.8,105,93.8,219,182,168,156,104,111,224,159,130,110,153,190,202,260,300,138,250,274,217,263,245,242,210,207,243
Slovak Republic,,,,,,,,,,,,,,,,,,,16,14.6,4.67,4.35,4.92,2.18,1.51,1.5,1.77,2.64,2.77,4.21,3.92,8.26,8.01,5.36,5.72,4.66,5.53,4.94,4.88,,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,9.04,13.5,12.6,15.2,16.6,23.7,24,28.1,21.7,38.3,60,21.2,24.2,19.6,12.3,14,14.8,15.1,14,11.8,13
South Africa,63.2,53.8,59.2,66.2,77.1,67.3,83.5,94.1,93.2,60.8,80.1,125,129,107,113,118,149,122,162,186,178,164,151,122,190,150,121,157,149,193,213,262,277,168,269,246,189,229,257,266,232,322,352
South Korea,,,,,8.1,5.89,5.83,5.67,5.04,6.44,7.36,12.1,22.6,47.9,57.7,39.5,29.6,30.8,36.1,42.1,32.7,23.3,7.51,30.6,63.1,30.5,43.9,41.2,48.4,56,79.9,82.5,100,47,92.5,99.8,82.8,96.5,94.6,85.9,89,88.7,116
Spain,29,20.3,,11.2,8.13,7.14,8.25,5.71,6.37,7.71,10.8,19.5,22.4,24.2,29.7,20.8,25.7,18.5,22.7,29.3,31.1,37.6,49.3,65.2,68.1,84.7,74.8,65.5,80.1,87.9,82.9,105,122,58,95.7,81.8,69.3,74.5,82,72.1,65.7,56.9,67.8
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,10.1,6.58,8.45,10.2,14.4,17.7,23.4,27.5,23.3,10.5,22.7,35.1,29.8,24.8,25.3,29.8,25.8,22.8,21.7
Swaziland,,,,,,,,,,,,,,,,,,,,23.9,19.9,29.4,7.54,5.39,6.13,4.2,8.24,10.3,7.84,8.02,6.18,6,6.75,,,,,,,,,,
Sweden,2.69,2.95,8.16,9.93,8.78,9.22,13.5,16.5,29.2,23.8,33.1,42.7,39,48.8,55.5,35.6,35.9,27.9,47.9,52.8,65.3,83.4,100,104,138,126,98.6,67.9,87.5,,,,,,,,,,,,,,
Switzerland,,,,,,35.9,35.2,34.7,39.6,37.7,78,83.3,67,67.1,84.6,61.1,72.6,71.4,102,97.4,116,121,201,234,234,291,189,203,206,210,230,281,266,159,197,211,156,185,224,211,224,210,248
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,1.77,2.27,3.83,,,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,32,24,38.8,51.4,99.4,86.6,82.9,52.8,15.2,30.1,45.1,23.1,29.9,33.9,78.2,66.7,65.4,63.2,75,35.4,62.8,81.4,72.4,98,84.3,106,86.9,105,121
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,41.9,44.1,,,,,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,22.3,19.2,10.8,9.97,11.5,13.1,10.1,9.21,8.97,8.25,8.73,12.3,13.7,14.1,21.4,24.2,21.1,19.7,18.6,18.4,20.4,20.1,22.2
Turkey,,,,,,,,,,,,,,,,,,,20.3,16.5,12.3,16.7,32.2,12.2,44,25.5,24.2,15.1,21.9,24.3,31.9,29.1,42.1,15.4,35.9,39.2,23.7,36.1,20.6,23.5,22,19.9,26.7
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,15.7,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9,34,54.5,45.4,26.7,27.1,49.9,53.3,56.6,62,62.6
United Kingdom,35.5,30,43.9,38.5,6.86,6.37,35.1,38.1,46.1,51.2,72.2,78.6,91.2,78.2,87.9,77.7,86.6,80.9,108,100,99.6,121,133,140,177,156,133,105,119,117,121,140,125,64.6,,,,,,,,,
United States,,,,,,47.5,39.4,43.6,49.7,39.7,52.9,55.3,52,52.9,59.8,51.7,67.4,69.5,76.3,70.3,90.7,105,125,142,153,147,132,101,124,133,130,141,138,78.7,105,115,101,116,144,151,138,147,166
Uruguay,,,,,,,,,,,,,,,,,,,,,6.74,1.38,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,,,13.4,8.72,5.72,14.7,17,8.3,7.61,6.91,5.06,4.28,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.56,25,26,15.9,20.9,23.4,24.7,26.8,32.3,5.16
Zambia,,,,,,,,,,,,,,,,,,,,,11.2,6.03,11.7,8.08,8.04,,7.33,,15.4,26.5,30.2,23.1,,,,,13.6,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,21.9,24.5,30,42.5,22.6,14.9,35.9,,,,,,,,,,,,,,,,,,
