country,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,,9.4,,,9.1,8.13,11.5,11.1,13,13.9,12.9,10.8,,,,10.1,9.44,7.8,8.25,8.72,11.8,12.1,15,20.1,20.5,15,15.6,14.2,13.7,11.9,,11.2,11.3,12.1,11,10.1,9.74,9.05,8.57,8.3,8.69,8.87
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.57,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,,,,,,,4.49,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,9.78,8.77,9.06,9,8.6,8.14
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.22,4.25,,,2.6,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,13.6,16.1,15.8,15.1,13.9,13.7,12.6,11.1,9.91,8.53,9.2,11.6,13.7,15.9,17.3,17.3,16.2,13.1,11.2
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.27,7.61,7.1,6.23,6.26,5.45,4.08,3.31,2.33,1.85,1.95,1.91,1.79,1.58,1.67,2.5,3.18,,3.29,2.7,2.4,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.97,3.98,3.3,4.14,4.33,5.3,4.54,3.92,3.65,5.36,6.26,7.86,11.8,15.9,16.1,14.9,12.9,11.1
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,4.3,4.02,3.89,4.27,5.9,8.49,8.76,7.99,7.02,7.54,8.21,7.93,7.15,5.32,4.39,6.66,7.28,6.71,6.98,6.95,6.11,5.05,3.95,2.89
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.74,8.87,7.8,6.03,6.09,6.49,8.15,8.34,9.1,9.03,10.7,8.04,6.99,6.84,5.4,5.04,5.14,4.48,4.16,4.27,5.4,5.2,4.83,3.9,3.8,3.43,6.01,7.46,7.57,7.53,7,6.59,6.17,6.18,5.74
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,,,,,,,,23.2,,15.7,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.61,7.28,5.83
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,5.3,,5.8,,,,,,,,,,7.24,6.99,7.71,5.88,8.19,8.56,7.95,6.68,6.7,10.4,9.17,11.5,14,4.8,4.25,,5.66,5,3.78,3.55,3.14,3.92,4.61,4.09,3.46,3.23,3.08,3.48,3.62,4.6,3.84
Egypt,,,,,,,,,,,,,,,,,,,,,,,,2.4,1.82,1.53,1.71,2.3,2.57,,3.13,3.64,4.55,5.18,4.97,5.21,6.47,5.89,,,,,7.06,8.43,9.38,8.92,10.9,10.9,11,,8.37,8.03,7.95,8.98,9.26,10,11,10.3,11.2,10.5,8.8,8.52,9.09,8.76,11.8,12.6,13.2,13.1,13.1,12.4,11.8
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73,6.79,13.3,,,,,16.9,8.63,,9.37,8.35,9.96,7.53,7.88,9.94,7.68,7.65,7.68,7.98,7.1,6.68,6.96,6.96,5.73,6.26,6.05,,6.57,6.41,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
